month,avg_monthly_requests,avg_response_hours,avg_delay_48h_rate,avg_repeat_proxy_rate
1,3413.0,4815.994490274022,0.6374094065797292,0.49853378220647077
2,2732.214285714286,5970.362658768626,0.6594747582659298,0.44811398779824196
3,2861.4285714285716,5975.583240222118,0.603764004239184,0.47532309805947187
4,2912.8571428571427,5843.987552968337,0.5862978506414895,0.45545951432968756
5,3071.9166666666665,6958.0219298281545,0.6278914021059602,0.46255355098432466
6,3272.0,6474.160096836057,0.6256609889397322,0.44285171880728025
7,3386.75,6442.048893110394,0.6443144947621255,0.43185710222696544
8,3247.0,6153.176575430544,0.6584659186897934,0.4330510803875886
9,3280.5833333333335,6294.184523966367,0.648385196942378,0.4409098258649545
10,3309.9166666666665,5731.091926279526,0.6590860052849127,0.47548307634869685
11,3145.1666666666665,5113.400147206467,0.6697273498155615,0.4847439704331437
12,3069.8333333333335,4256.455196361063,0.673515597994354,0.5373513399590659
