created_ym,segment_name,request_count,avg_response_hours,delay_48h_rate,repeat_proxy_rate
2020-01,High-volume fast-moving workload,8466,490.3148973344358,0.35908339239310183,0.4376328844790928
2020-01,Long-duration service burden,100,23503.316616666667,0.79,0.18
2020-02,High-volume fast-moving workload,4858,359.5669991080006,0.34376286537669826,0.40284067517496913
2020-02,Long-duration service burden,87,27036.055571519795,0.8735632183908046,0.25287356321839083
2020-03,High-volume fast-moving workload,4018,359.2009059233449,0.3474365355898457,0.45097063215530114
2020-03,Long-duration service burden,63,28889.144519400354,0.9365079365079365,0.3333333333333333
2020-04,High-volume fast-moving workload,3374,235.47119673318844,0.25133372851215174,0.502963841138115
2020-04,Long-duration service burden,40,27848.46101388889,0.9,0.325
2020-05,High-volume fast-moving workload,5045,209.56911992071358,0.2348860257680872,0.5330029732408325
2020-05,Long-duration service burden,75,26354.08788148148,0.8933333333333333,0.25333333333333335
2020-06,High-volume fast-moving workload,6825,236.44991925111924,0.2490842490842491,0.5389010989010989
2020-06,Long-duration service burden,86,21499.469948320413,0.9069767441860465,0.1511627906976744
2020-07,High-volume fast-moving workload,6933,290.7239384906326,0.3220827924419443,0.5230059137458531
2020-07,Long-duration service burden,65,23886.978764957265,0.9538461538461539,0.15384615384615385
2020-08,High-volume fast-moving workload,7390,393.1677896181026,0.3828146143437077,0.5525033829499323
2020-08,Long-duration service burden,97,23277.36687857961,0.9690721649484536,0.23711340206185566
2020-09,High-volume fast-moving workload,6383,251.07281485543194,0.3083189722700924,0.5248315838947204
2020-09,Long-duration service burden,70,23447.87206349206,1.0,0.22857142857142856
2020-10,High-volume fast-moving workload,5981,271.2992679132066,0.3616452098311319,0.5052666778130748
2020-10,Long-duration service burden,89,19003.069244694132,0.9887640449438202,0.42696629213483145
2020-11,High-volume fast-moving workload,5099,258.40221802749994,0.3543832123945872,0.4912727985879584
2020-11,Long-duration service burden,75,15558.01601851852,1.0,0.48
2020-12,High-volume fast-moving workload,5007,252.68380739187361,0.3980427401637707,0.5254643499101258
2020-12,Long-duration service burden,70,13648.059174603173,1.0,0.42857142857142855
